ACP5,3.74613052501722e-07,-0.614030124582116
SNX3,5.48848070879915e-07,-0.595095419643733
TMSB10,6.57751757709084e-07,-0.525944125626693
CYBA,8.1482940950061e-07,-0.447771282425604
SYTL1,8.72238571296945e-07,-0.67146424927597
PSMA2,8.96429190644052e-07,-0.536897172898588
CSK,9.81641065439003e-07,-0.54817542947221
JPT1,1.1036895725381e-06,-0.599774375870654
PIH1D1,1.14777809847067e-06,-0.57906166722036
DBI,1.15343314909657e-06,-0.761900492650869
FCMR,1.17977049302994e-06,-0.634460604117898
CORO1A,1.46879119097988e-06,-0.602286598640297
CALM3,1.73691890692226e-06,-0.560202639969044
ITGAX,1.82025587164328e-06,-0.428581585417054
GLUL,1.8408807156822e-06,-0.485075605046462
HCST,1.97188048660473e-06,-0.612387372482851
PNRC1,2.24246247360483e-06,0.559315794535693
POMP,2.71627606164189e-06,-0.550864775389708
FUT8,3.00350824480902e-06,-0.474176916568071
SMIM14,3.50888043552707e-06,-0.831863050818437
SRSF9,3.68010092789714e-06,-0.535434734820102
ILK,4.07176204051167e-06,-0.475085522016495
SPI1,4.13966812907775e-06,-0.553970686257529
FAU,4.39910034583803e-06,0.272827938188668
OAS1,4.66207747535673e-06,-0.438046052167582
HSH2D,5.15032215201325e-06,-0.531944379927531
HSPA4,5.45334172285448e-06,-0.484429753004453
EEA1,5.54388641010586e-06,-0.461524437492935
HMGA1,5.64618505538829e-06,-0.652816460198156
IGF2BP3,5.64769704470354e-06,-0.311769783840901
PREX1,5.66002600293897e-06,-0.476545714312364
